id;placed_date;status;code;customer
1;2020-06-17T23:49:30;PENDING;Georgia calculate withdrawal;virtual violet Corporate
2;2020-06-17T10:11:57;CANCELLED;Health Music Expanded;THX Marketing Generic Plastic Hat
3;2020-06-17T08:47:41;CANCELLED;revolutionize harness Kyat;Toys Implementation
4;2020-06-17T22:07:22;PENDING;circuit backing up Orchestrator;Small Concrete Cheese connecting
5;2020-06-18T05:18:17;PENDING;target;orchid
6;2020-06-17T17:06:54;CANCELLED;input;Chair Human
7;2020-06-17T10:17:24;CANCELLED;payment;navigate Beauty
8;2020-06-17T10:24:55;CANCELLED;Spain Bike proactive;hack green Streamlined
9;2020-06-17T22:55:49;COMPLETED;back up front-end eco-centric;FTP
10;2020-06-18T05:42:49;PENDING;bluetooth matrix;Papua New Guinea West Virginia Unbranded Wooden Gloves
