id;name;brand;price;product_color;product_size;status
1;Generic Steel Tuna;NOUS;81236;YELLOW;XL;OUTDATE
2;actuating THX;JUNO;13165;GREY;L;OUTDATE
3;Internal compressing;JUNO;60561;GREEN;XXL;CURRENT
4;mobile distributed Dynamic;ADV;20809;GREEN;S;CURRENT
5;Shoes;JK;62192;WHITE;L;OUTDATE
6;Fantastic;ADV;25082;GREEN;XXL;CURRENT
7;Unbranded Steel Computer;ADV;78668;GREEN;S;OUTDATE
8;Mobility multi-byte Incredible Steel Soap;ADV;52857;GREEN;M;OUTDATE
9;interactive;JUNO;44886;GREY;XL;CURRENT
10;Assistant Sleek Gateway;CROSS;59291;GREEN;S;CURRENT
